商品erpid,连锁名称,连锁id,通用名称,商品名称,条形码,批准文号,规格,生产厂家,成本价,销售单价_平均值,销售数量_总和,销售金额_总和
4069236,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,颐真山茶油抑菌膏/格丽美,\N,6973864362819,闽卫消证字(2019)第0023号,3.4g,福建颐真生物科技有限公司,0,9.69,526,5095.51
4069237,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,颐真山茶油抑菌膏/格丽美,\N,6973864362802,闽卫消证字(2019)第0023号,4.8g,福建颐真生物科技有限公司,0,9.71,796,7724.75
4069251,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,赛博扬*岭南郎中花露*保湿润唇抑菌膏（草莓）,\N,6971609504227,赣卫消字（2017）第C011号,5g（草莓）,江西汇顺实业有限公司,0,9.63,673,6479.85
4069251,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T赛博扬*岭南郎中花露*保湿润唇抑菌膏（草莓）,\N,6971609504227,赣卫消字（2017）第C011号,5g（草莓）,江西汇顺实业有限公司,0,9.38,26,244.62
4069252,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T赛博扬*岭南郎中花露*保湿润唇抑菌膏（苹果）,\N,6971609504173,赣卫消字（2017）第C011号,5g（苹果）,江西汇顺实业有限公司,0,9.48,29,270
4069252,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,赛博扬*岭南郎中花露*保湿润唇抑菌膏（苹果）,\N,6971609504173,赣卫消字（2017）第C011号,5g（苹果）,江西汇顺实业有限公司,0,9.63,571,5499.12
4069255,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,岭南郎中花露*维生素E抑菌膏霜,\N,6971609504166,赣卫消字（2017）第C012号,120g（玻尿酸）,江西汇顺实业有限公司,0,12.15,357,4340.48
4069255,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,岭南郎中花露*维生素E抑菌膏霜,\N,\N,赣卫消字（2017）第C012号,120g（玻尿酸）,江西汇顺实业有限公司,0,12.33,12,148
4069255,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,TT岭南郎中花露*维生素E抑菌膏霜,\N,6971609504166,赣卫消字（2017）第C012号,120g（玻尿酸）,江西汇顺实业有限公司,0,12.12,27,327
4069268,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,小苛植物精粹抑菌液（滋养柔顺）,\N,6976340340868,渝卫消证字（2023）第1001号,600ml,小苛（重庆）制药有限公司,0,28.99,689,19525.73
4069268,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T小苛植物精粹抑菌液（滋养柔顺）,\N,6976340340868,渝卫消证字（2023）第1001号,600ml,小苛（重庆）制药有限公司,0,28.26,16,453.4
4069269,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,小苛植物精粹抑菌液（净爽沐浴）,\N,6976340340875,渝卫消证字（2023）第1001号,600ml,小苛（重庆）制药有限公司,0,26.56,393,10443.85
4069278,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌抗菌泡泡液/ZP,\N,6971253460139,陕卫消证字(2021)第A060号,80ml,白金制药（西安）有限公司,0,52.48,8,386.9
4069279,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,择爽抑菌液,\N,\N,辽卫消证字(2012)第0013号,30ml,鞍山中硕医药生物科技有限公司,0,128,13,1664
4069280,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,奇草钢目草本抑菌乳膏,\N,6977197270179,桂卫消证字(2023)第0027号,15g,广西佰氏康药业有限公司,0,14.53,233,3381.56
4069280,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,奇草钢目草本抑菌乳膏,\N,6976433550259,桂卫消证字(2023)第0027号,15g,广西佰氏康药业有限公司,0,14.52,279,4054.06
